"dataname","Name","Competition","NumberSteps","Jump","Height cleared","Height","Cleared","Foot Plant Step 1","Foot Plant Step 2","Foot Plant Step 3","Foot Plant Step 4","Foot Plant Step 5","Foot Plant Step 6","Foot Plant Step 7","Foot Plant Step 8","Foot Plant Step 9","Foot Plant Step 10","Foot Plant Step 11","Foot Plant Step 12","Foot Plant Step 13","Foot Plant Take-Off","Contact Time 3rd last","Contact Time 2nd last","Contact Time last","Step Time Step 1","Step Time Step 2","Step Time Step 3","Step Time Step 4","Step Time Step 5","Step Time Step 6","Step Time Step 7","Step Time Step 8","Step Time Step 9","Step Time Step 10","Step Time Step 11","Step Time Step 12","Step Time Step 13","Cadencev1Avg","Cadencev1 Step 1","Cadencev1 Step 2","Cadencev1 Step 3","Cadencev1 Step 4","Cadencev1 Step 5","Cadencev1 Step 6","Cadencev1 Step 7","Cadencev1 Step 8","Cadencev1 Step 9","Cadencev1 Step 10","Cadencev1 Step 11","Cadencev1 Step 12","Cadencev1 Step 13","Cadencev2Avg","Cadencev2 Step 1","Cadencev2 Step 2","Cadencev2 Step 3","Cadencev2 Step 4","Cadencev2 Step 5","Cadencev2 Step 6","Cadencev2 Step 7","Cadencev2 Step 8","Cadencev2 Step 9","Cadencev2 Step 10","Cadencev2 Step 11","Cadencev2 Step 12","Cadencev2 Step 13"
"Brandon Starc_SydneyTrackClassic2020","Brandon Starc","SydneyTrackClassic2020",14,1,"2.12 O","2.12","Y",0,0.325,0.63,0.935,1.26,1.58,1.9,2.19,2.49,2.77,3.06,3.31,3.565,3.77,0.13,0.135,0.14,0.325,0.305,0.305,0.325,0.32,0.32,0.29,0.3,0.28,0.29,0.25,0.255,0.205,3.71352785145889,3.07692307692308,3.17460317460317,3.20855614973262,3.17460317460317,3.16455696202532,3.15789473684211,3.19634703196347,3.21285140562249,3.24909747292419,3.26797385620915,3.32326283987915,3.36605890603086,3.44827586206897,3.71352785145889,3.07692307692308,3.27868852459016,3.27868852459016,3.07692307692308,3.125,3.125,3.44827586206897,3.33333333333333,3.57142857142857,3.44827586206897,4,3.92156862745098,4.8780487804878
"Brandon Starc_SydneyTrackClassic2020","Brandon Starc","SydneyTrackClassic2020",14,2,"2.16 O","2.16","Y",0,0.31,0.61,0.91,1.25,1.56,1.88,2.19,2.495,2.765,3.06,3.285,3.55,3.75,0.135,0.14,0.14,0.31,0.3,0.3,0.34,0.31,0.32,0.31,0.305,0.27,0.295,0.225,0.265,0.2,3.73333333333333,3.2258064516129,3.27868852459016,3.2967032967033,3.2,3.2051282051282,3.19148936170213,3.19634703196347,3.2064128256513,3.25497287522604,3.26797385620915,3.34855403348554,3.38028169014085,3.46666666666667,3.73333333333333,3.2258064516129,3.33333333333333,3.33333333333333,2.94117647058824,3.2258064516129,3.125,3.2258064516129,3.27868852459016,3.7037037037037,3.38983050847458,4.44444444444444,3.77358490566038,5
"Brandon Starc_SydneyTrackClassic2020","Brandon Starc","SydneyTrackClassic2020",14,3,"2.20 O","2.20","Y",0,0.32,0.615,0.925,1.25,1.56,1.87,2.17,2.465,2.74,3.02,3.26,3.525,3.73,0.13,0.14,0.13,0.32,0.295,0.31,0.325,0.31,0.31,0.3,0.295,0.275,0.28,0.24,0.265,0.205,3.75335120643432,3.125,3.2520325203252,3.24324324324324,3.2,3.2051282051282,3.20855614973262,3.2258064516129,3.24543610547667,3.28467153284672,3.3112582781457,3.37423312883436,3.40425531914894,3.48525469168901,3.75335120643432,3.125,3.38983050847458,3.2258064516129,3.07692307692308,3.2258064516129,3.2258064516129,3.33333333333334,3.38983050847458,3.63636363636363,3.57142857142857,4.16666666666667,3.77358490566038,4.8780487804878
"Brandon Starc_SydneyTrackClassic2020","Brandon Starc","SydneyTrackClassic2020",14,4,"2.24 O","2.24","Y",0,0.3,0.6,0.9,1.24,1.555,1.87,2.18,2.46,2.725,3.01,3.24,3.5,3.7,0.13,0.14,0.14,0.3,0.3,0.3,0.34,0.315,0.315,0.31,0.28,0.265,0.285,0.23,0.26,0.2,3.78378378378378,3.33333333333333,3.33333333333333,3.33333333333333,3.2258064516129,3.21543408360129,3.20855614973262,3.21100917431193,3.2520325203252,3.30275229357798,3.32225913621263,3.39506172839506,3.42857142857143,3.51351351351351,3.78378378378378,3.33333333333333,3.33333333333333,3.33333333333333,2.94117647058824,3.17460317460318,3.17460317460317,3.2258064516129,3.57142857142857,3.77358490566038,3.50877192982457,4.34782608695651,3.84615384615385,5
"Brandon Starc_SydneyTrackClassic2020","Brandon Starc","SydneyTrackClassic2020",14,5,"2.27 O","2.27","Y",0,0.31,0.62,0.92,1.25,1.555,1.865,2.16,2.46,2.73,3.01,3.25,3.52,3.725,0.13,0.14,0.145,0.31,0.31,0.3,0.33,0.305,0.31,0.295,0.3,0.27,0.28,0.24,0.27,0.205,3.75838926174497,3.2258064516129,3.2258064516129,3.26086956521739,3.2,3.21543408360129,3.2171581769437,3.24074074074074,3.2520325203252,3.2967032967033,3.32225913621263,3.38461538461538,3.40909090909091,3.48993288590604,3.75838926174497,3.2258064516129,3.2258064516129,3.33333333333333,3.03030303030303,3.27868852459016,3.2258064516129,3.38983050847457,3.33333333333334,3.7037037037037,3.57142857142857,4.16666666666666,3.7037037037037,4.8780487804878
"Brandon Starc_SydneyTrackClassic2020","Brandon Starc","SydneyTrackClassic2020",14,6,"2.30 X","2.30","N",0,0.3,0.605,0.905,1.23,1.54,1.85,2.15,2.435,2.71,2.99,3.22,3.48,3.68,0.13,0.14,0.14,0.3,0.305,0.3,0.325,0.31,0.31,0.3,0.285,0.275,0.28,0.23,0.26,0.2,3.80434782608696,3.33333333333333,3.30578512396694,3.31491712707182,3.2520325203252,3.24675324675325,3.24324324324324,3.25581395348837,3.28542094455852,3.3210332103321,3.34448160535117,3.41614906832298,3.44827586206897,3.53260869565217,3.80434782608696,3.33333333333333,3.27868852459016,3.33333333333333,3.07692307692308,3.2258064516129,3.2258064516129,3.33333333333334,3.50877192982456,3.63636363636364,3.57142857142857,4.34782608695652,3.84615384615385,5
"Brandon Starc_SydneyTrackClassic2020","Brandon Starc","SydneyTrackClassic2020",14,7,"2.30 XX","2.30","N",0,0.32,0.615,0.92,1.255,1.56,1.88,2.19,2.47,2.735,3.03,3.26,3.52,3.72,0.13,0.14,0.14,0.32,0.295,0.305,0.335,0.305,0.32,0.31,0.28,0.265,0.295,0.23,0.26,0.2,3.76344086021505,3.125,3.2520325203252,3.26086956521739,3.18725099601594,3.2051282051282,3.19148936170213,3.19634703196347,3.23886639676113,3.29067641681901,3.3003300330033,3.37423312883436,3.40909090909091,3.49462365591398,3.76344086021505,3.125,3.38983050847458,3.27868852459016,2.98507462686567,3.27868852459016,3.125,3.2258064516129,3.57142857142857,3.77358490566038,3.38983050847458,4.34782608695652,3.84615384615384,5
"Brandon Starc_SydneyTrackClassic2020","Brandon Starc","SydneyTrackClassic2020",14,8,"2.30 XXO","2.30","Y",0,0.32,0.62,0.92,1.255,1.57,1.88,2.18,2.47,2.74,3.04,3.29,3.55,3.75,0.13,0.14,0.13,0.32,0.3,0.3,0.335,0.315,0.31,0.3,0.29,0.27,0.3,0.25,0.26,0.2,3.73333333333333,3.125,3.2258064516129,3.26086956521739,3.18725099601594,3.18471337579618,3.19148936170213,3.21100917431193,3.23886639676113,3.28467153284672,3.28947368421053,3.34346504559271,3.38028169014085,3.46666666666667,3.73333333333333,3.125,3.33333333333333,3.33333333333333,2.98507462686567,3.17460317460317,3.2258064516129,3.33333333333333,3.44827586206897,3.7037037037037,3.33333333333334,4,3.84615384615385,5
"Brandon Starc_SydneyTrackClassic2020","Brandon Starc","SydneyTrackClassic2020",14,9,"2.33 X","2.33","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.27,0.46,0.13,0.13,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.27,0.19,30.4347826086957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inf,44.4444444444444,28.2608695652174,30.4347826086957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.7037037037037,5.26315789473684
"Brandon Starc_SydneyTrackClassic2020","Brandon Starc","SydneyTrackClassic2020",14,10,"2.33 XX","2.33","N",0,0.32,0.63,0.93,1.26,1.57,1.89,2.17,2.455,2.735,3.01,3.23,3.5,3.7,0.13,0.14,0.135,0.32,0.31,0.3,0.33,0.31,0.32,0.28,0.285,0.28,0.275,0.22,0.27,0.2,3.78378378378378,3.125,3.17460317460317,3.2258064516129,3.17460317460317,3.18471337579618,3.17460317460317,3.2258064516129,3.25865580448065,3.29067641681901,3.32225913621263,3.40557275541796,3.42857142857143,3.51351351351351,3.78378378378378,3.125,3.2258064516129,3.33333333333333,3.03030303030303,3.2258064516129,3.125,3.57142857142857,3.50877192982456,3.57142857142857,3.63636363636364,4.54545454545454,3.7037037037037,5
"Brandon Starc_SydneyTrackClassic2020","Brandon Starc","SydneyTrackClassic2020",14,11,"2.33 XXX","2.33","N",0,0.31,0.61,0.89,1.225,1.525,1.835,2.135,2.42,2.71,2.975,3.22,3.49,3.68,0.13,0.135,0.15,0.31,0.3,0.28,0.335,0.3,0.31,0.3,0.285,0.29,0.265,0.245,0.27,0.19,3.80434782608696,3.2258064516129,3.27868852459016,3.37078651685393,3.26530612244898,3.27868852459016,3.26975476839237,3.27868852459016,3.30578512396694,3.3210332103321,3.36134453781513,3.41614906832298,3.43839541547278,3.53260869565217,3.80434782608696,3.2258064516129,3.33333333333333,3.57142857142857,2.98507462686567,3.33333333333334,3.2258064516129,3.33333333333334,3.50877192982456,3.44827586206897,3.77358490566038,4.08163265306122,3.7037037037037,5.26315789473684
